0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	min_date	max_date	average_date
0.757576	-0.939394	0.494949	-0.535354	0.959596	-0.373737	-0.555556	0.111111	-0.474747	-0.494949	0.555556	0.656566	0.575758	0.919192	-0.434343	-0.454545	0.212121	0.474747	0.252525	-0.676768	-0.272727	-0.575758	0.333333	0.636364	0.313131	0.353535	0.313131	-0.515152	0.373737	-0.515152	-0.474747	-1.000000	-0.090909	0.212121	0.232323	0.616162	-0.252525	-0.959596	-0.292929	0.878788	-0.426230	-0.819672	-0.032787
0.252525	0.070707	0.737374	1.000000	-0.696970	-0.858586	-0.414141	0.676768	-0.313131	-0.757576	-0.111111	-0.616162	0.272727	-1.000000	-0.313131	0.797980	-0.050505	-0.717172	0.797980	0.090909	0.595960	0.878788	0.555556	-0.959596	-0.414141	0.474747	-0.959596	-0.919192	0.090909	-0.171717	-0.313131	-0.979798	0.050505	0.575758	-0.959596	0.373737	0.979798	-0.939394	-0.454545	0.313131	-0.163934	-0.770492	0.442623
0.656566	-0.959596	0.595960	0.131313	-0.535354	0.090909	0.252525	-0.656566	0.494949	0.171717	-0.515152	-0.636364	-0.575758	-0.818182	-0.171717	-0.939394	0.757576	0.131313	-0.373737	0.494949	-0.797980	-0.434343	-0.737374	-0.696970	0.414141	-0.777778	0.373737	0.272727	-0.151515	0.979798	0.131313	1.000000	-0.212121	-0.373737	-0.111111	0.353535	-0.171717	0.393939	0.373737	-0.212121	-0.557377	-0.967213	-0.131148
-0.838384	0.272727	0.050505	-0.212121	-0.434343	0.030303	-0.737374	-0.292929	0.616162	-0.898990	0.717172	-0.414141	-0.373737	0.818182	0.111111	-0.171717	0.090909	-0.919192	-0.979798	0.373737	0.636364	-0.858586	0.111111	-0.010101	0.111111	-0.494949	0.292929	0.313131	0.494949	0.777778	0.595960	0.777778	-0.191919	0.979798	-0.595960	0.414141	-0.191919	0.656566	0.979798	-0.979798	0.065574	-0.065574	0.196721
0.434343	1.000000	0.797980	0.111111	0.434343	-0.636364	0.919192	-0.636364	-0.777778	0.050505	0.757576	-0.797980	-0.353535	-0.454545	-0.555556	0.535354	0.131313	-0.171717	0.454545	0.696970	-0.050505	-0.616162	-0.636364	0.414141	-0.595960	0.111111	0.777778	-0.111111	-0.474747	0.434343	0.878788	0.292929	0.474747	0.737374	-0.919192	-0.272727	0.191919	0.212121	-0.757576	0.878788	-0.377049	-0.803279	0.049180
0.252525	-0.696970	-0.212121	0.797980	0.737374	-0.555556	-0.575758	-0.555556	-0.434343	0.737374	-0.232323	0.898990	-0.373737	-0.878788	0.575758	0.252525	0.454545	-0.191919	-0.818182	-0.777778	0.838384	0.393939	-0.979798	0.111111	-1.000000	0.030303	0.111111	0.010101	0.070707	-0.838384	0.070707	0.353535	0.050505	0.111111	-0.292929	0.050505	0.333333	-0.151515	0.414141	-0.070707	0.278689	-0.180328	0.754098
-0.898990	1.000000	-0.373737	0.131313	-0.797980	0.676768	0.696970	0.151515	-0.393939	-0.353535	0.414141	-0.191919	0.595960	0.636364	-0.959596	0.010101	-0.858586	0.292929	-0.474747	-0.878788	0.090909	0.313131	0.333333	0.030303	0.292929	-0.333333	0.151515	-0.575758	-0.656566	-0.939394	0.555556	-0.818182	0.959596	-0.474747	0.232323	-0.575758	0.050505	0.797980	0.191919	-0.272727	0.426230	0.147541	0.721311
0.050505	-0.737374	0.090909	-0.030303	-0.535354	-0.757576	-0.494949	0.494949	0.858586	0.313131	0.030303	0.474747	-0.575758	-0.171717	-0.393939	-1.000000	0.313131	-0.717172	-0.616162	-0.797980	0.717172	0.373737	-0.696970	-0.313131	-0.575758	0.696970	-0.010101	0.717172	0.454545	0.272727	-0.818182	-0.838384	-0.737374	-1.000000	0.494949	1.000000	-0.777778	-0.050505	0.757576	-0.777778	0.147541	-0.573770	0.885246
0.717172	0.494949	-0.151515	0.757576	0.232323	0.898990	0.474747	0.515152	-0.757576	-0.010101	0.595960	-0.757576	0.333333	-0.414141	0.555556	-0.313131	0.515152	0.353535	-0.010101	-0.979798	0.878788	0.232323	0.414141	-0.515152	0.636364	0.474747	0.555556	-0.838384	-0.212121	0.252525	-0.939394	0.373737	-0.696970	0.070707	-0.515152	-0.515152	0.292929	0.595960	0.252525	0.373737	-0.295082	-0.704918	0.114754
0.333333	0.151515	-0.777778	0.515152	0.616162	0.131313	0.757576	0.414141	-0.757576	-0.858586	0.272727	-0.777778	-0.313131	-0.919192	-0.171717	-0.979798	0.070707	0.494949	0.050505	0.050505	-0.515152	0.757576	0.131313	0.131313	0.656566	-0.191919	0.010101	-0.616162	-0.292929	0.777778	0.414141	-0.939394	0.979798	0.272727	0.131313	0.393939	-0.898990	0.919192	-0.858586	0.515152	-0.606557	-0.836066	-0.360656
