population size,crossover probability,mutation probability,best,generations,text
200,0.6,0.0,0.23204947729680414,51,ουλπιανου αλεξανδρε ουδις ξανθικω
200,0.6,0.0,0.238591296206102,27,αθανατος αλεξανδρε ουδις θεοφιλου
200,0.6,0.0,0.2620822400961811,10,ρωσεων αλεξανδρε ουδις θαρσι
200,0.6,0.0,0.3759645047608647,78,αθανατος αλεξανδρε ουδις θαρσι
200,0.6,0.0,0.3061383326955249,16,δεσποτης αλεξανδρε ουδις θαρσι
200,0.6,0.0,0.26990868217881475,71,ετων αλεξανδρε ουδις εν
200,0.6,0.0,0.2620822400961811,24,θησεν αλεξανδρε ουδις θαρσι
200,0.6,0.0,0.34370157170369714,61,ουδις αλεξανδρε ουδις θαρσι
200,0.6,0.0,0.23859129620610198,7,αθανατος αλεξανδρε ουδις αυτωι
200,0.6,0.0,0.2635771520239146,13,ετων αλεξανδρε ουδις σπγ
200,0.6,0.0,0.27926867932641863,35.8,
