population size,crossover probability,mutation probability,best,generations,text
200,0.9,0.01,0.3759645047608647,88,αθανατος αλεξανδρε ουδις θαρσι
200,0.9,0.01,0.35341792470486394,51,θαρσι αλεξανδρε ουδις ετων
200,0.9,0.01,0.3759645047608647,80,θαρσι αλεξανδρε ουδις αθανατος
200,0.9,0.01,0.31251396441716844,20,θαρσι αλεξανδρε ουδις σπγ
200,0.9,0.01,0.30545044088231615,35,μνεμιον αλεξανδρε ουδις θαρσι
200,0.9,0.01,0.2620822400961811,20,γενηθεντος αλεξανδρε ουδις θαρσι
200,0.9,0.01,0.34370157170369714,45,ουδις αλεξανδρε ουδις θαρσι
200,0.9,0.01,0.3759645047608647,82,θαρσι αλεξανδρε ουδις αθανατος
200,0.9,0.01,0.30879066082989565,30,μηνι αλεξανδρε ουδις θαρσι
200,0.9,0.01,0.3759645047608647,85,θαρσι αλεξανδρε ουδις αθανατος
200,0.9,0.01,0.3389814821677582,53.6,
