population size,crossover probability,mutation probability,best,generations,text
200,0.1,0.01,0.35341792470486394,78,ετων αλεξανδρε ουδις θαρσι
200,0.1,0.01,0.3337406861049336,28,θαρσι αλεξανδρε ουδις μνημιον
200,0.1,0.01,0.3759645047608647,22,αθανατος αλεξανδρε ουδις θαρσι
200,0.1,0.01,0.3759645047608647,101,θαρσι αλεξανδρε ουδις αθανατος
200,0.1,0.01,0.3759645047608647,84,θαρσι αλεξανδρε ουδις αθανατος
200,0.1,0.01,0.30545044088231615,46,θαρσι αλεξανδρε ουδις αθανοτας
200,0.1,0.01,0.35341792470486394,118,θαρσι αλεξανδρε ουδις ετων
200,0.1,0.01,0.35341792470486394,172,θαρσι αλεξανδρε ουδις ετων
200,0.1,0.01,0.3759645047608647,72,αθανατος αλεξανδρε ουδις θαρσι
200,0.1,0.01,0.30489209164229314,27,θαρσι αλεξανδρε ουδις ας
200,0.1,0.01,0.3508195011787594,74.8,
