population size,crossover probability,mutation probability,best,generations,text
20,0.1,0.01,0.30548602712512424,97,θαρσι αλεξανδρε ουδις ημερα
20,0.1,0.01,0.17492251320695731,31,οξοτατου αλεξανδρε ουδις διου
20,0.1,0.01,0.17636333349561095,18,οτιο αλεξανδρε ουδις δικαιος
20,0.1,0.01,0.2620822400961811,117,βανεσθαι αλεξανδρε ουδις θαρσι
20,0.1,0.01,0.17315749964398633,100,πιστεως αλεξανδρε ουδις οεωνιον
20,0.1,0.01,0.14020950294296652,3,ετις αλεξανδρε ουδις ετει
20,0.1,0.01,0.21425337493223626,65,παντων αλεξανδρε ουδις πετρος
20,0.1,0.01,0.35341792470486394,251,θαρσι αλεξανδρε ουδις ετων
20,0.1,0.01,0.23930915687983853,390,μνημιον αλεξανδρε ουδις δεσποτης
20,0.1,0.01,0.3337406861049336,159,θαρσι αλεξανδρε ουδις μνημιον
20,0.1,0.01,0.23729422591326985,123.1,
