population size,crossover probability,mutation probability,best,generations,text
200,0.6,0.1,0.26786827243737393,21,ουδις αλεξανδρε ουδις διου
200,0.6,0.1,0.3062678719220054,49,θαρσι αλεξανδρε ουδις του
200,0.6,0.1,0.2696911756755942,22,ευλαβεστατου αλεξανδρε ουδις θαρσι
200,0.6,0.1,0.3061383326955249,108,θαρσι αλεξανδρε ουδις δεσποτης
200,0.6,0.1,0.35341792470486394,220,θαρσι αλεξανδρε ουδις ετων
200,0.6,0.1,0.238591296206102,5,αθανατος αλεξανδρε ουδις βατνας
200,0.6,0.1,0.35341792470486394,81,θαρσι αλεξανδρε ουδις ετων
200,0.6,0.1,0.3114161947454118,23,πετρου αλεξανδρε ουδις θαρσι
200,0.6,0.1,0.2620822400961811,33,αποδειξιν αλεξανδρε ουδις θαρσι
200,0.6,0.1,0.3055231611641334,39,καλου αλεξανδρε ουδις θαρσι
200,0.6,0.1,0.2974414394352055,60.1,
