population size,crossover probability,mutation probability,best,generations,text
20,0.6,0.01,0.21555574631546223,9,γα αλεξανδρε ουδις ετων
20,0.6,0.01,0.31251396441716844,306,θαρσι αλεξανδρε ουδις ξανθικω
20,0.6,0.01,0.238591296206102,114,προβαλων αλεξανδρε ουδις αθανατος
20,0.6,0.01,0.19440945688204028,16,σκει αλεξανδρε ουδις μνημιον
20,0.6,0.01,0.23859129620610198,54,αθανατος αλεξανδρε ουδις ορος
20,0.6,0.01,0.23301139546287022,65,ουδις αλεξανδρε ουδις τοπαρχης
20,0.6,0.01,0.22149511508935826,194,καλου αλεξανδρε ουδις ουλπιανου
20,0.6,0.01,0.18518369921078792,28,ετι αλεξανδρε ουδις αυρηλιος
20,0.6,0.01,0.1402095029429665,2,ετει αλεξανδρε ουδις γοθυ
20,0.6,0.01,0.238591296206102,72,αυτοκρ αλεξανδρε ουδις αθανατος
20,0.6,0.01,0.22181527689389596,86.0,
