population size,crossover probability,mutation probability,best,generations,text
20,0.6,0.1,0.2620822400961811,74,θεοδωρου αλεξανδρε ουδις θαρσι
20,0.6,0.1,0.238591296206102,61,αθανατος αλεξανδρε ουδις αιου
20,0.6,0.1,0.2663934809875051,64,θαρσι αλεξανδρε ουδις εμος
20,0.6,0.1,0.19440945688204028,34,ηδειον αλεξανδρε ουδις μνημιον
20,0.6,0.1,0.26858965902077914,19,περετιου αλεξανδρε ουδις ουδις
20,0.6,0.1,0.17636333349561095,6,μνεμιον αλεξανδρε ουδις εκαλεσε
20,0.6,0.1,0.1697440195269366,3,δει αλεξανδρε ουδις ημερα
20,0.6,0.1,0.23301139546287022,8,καλον αλεξανδρε ουδις ουδις
20,0.6,0.1,0.32329185226453466,101,θαρσι αλεξανδρε ουδις εν
20,0.6,0.1,0.17492251320695731,3,διου αλεξανδρε ουδις ωρεπισκο
20,0.6,0.1,0.23073992471495175,37.3,
