population size,crossover probability,mutation probability,best,generations,text
20,0.9,0.01,0.238591296206102,35,αθανατος αλεξανδρε ουδις σοωκι
20,0.9,0.01,0.3759645047608647,336,αθανατος αλεξανδρε ουδις θαρσι
20,0.9,0.01,0.17636333349561095,3,οτιο αλεξανδρε ουδις εισ
20,0.9,0.01,0.1861193168395585,61,εξηκοντα αλεξανδρε ουδις υιοι
20,0.9,0.01,0.18822631888292077,53,εξηκοντα αλεξανδρε ουδις εκτισθη
20,0.9,0.01,0.3114161947454118,30,θαρσι αλεξανδρε ουδις πετρου
20,0.9,0.01,0.2355986753647018,59,πασης αλεξανδρε ουδις ουδις
20,0.9,0.01,0.21420898485587134,48,ετους αλεξανδρε ουδις ξανθικω
20,0.9,0.01,0.18304542292473477,34,ανδρων αλεξανδρε ουδις ετι
20,0.9,0.01,0.2696911756755942,43,με αλεξανδρε ουδις θαρσι
20,0.9,0.01,0.2379225223751371,70.2,
